Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2023/1/1,22:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.4,22.5,79,101300,0,0,434,0,0,0,0,0,0,0,60,2.6,9,9,10,8839,9,'999999999,450,0,0,88,999,0,1
2023/1/1,23:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.2,22.8,82,101300,0,0,433,0,0,0,0,0,0,0,60,2.6,9,9,12,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/1,0:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.8,22.8,84,101300,0,0,431,0,0,0,0,0,0,0,70,2.1,9,9,10,9144,9,'999999999,459,0,0,88,999,0,1
2023/1/2,1:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.7,22.9,85,101200,0,0,431,0,0,0,0,0,0,0,50,2.6,9,9,10,8839,9,'999999999,459,0,0,88,999,0,1
2023/1/2,2:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.4,22.8,86,101200,0,0,429,0,0,0,0,0,0,0,50,2.1,9,9,12,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/2,3:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.2,22.6,86,101100,0,0,427,0,0,0,0,0,0,0,60,2.6,9,9,10,7010,9,'999999999,450,0,0,88,999,0,1
2023/1/2,4:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.1,22.3,84,101000,0,0,426,0,0,0,0,0,0,0,50,2.6,9,9,10,5486,9,'999999999,440,0,0,88,999,0,1
2023/1/2,5:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.1,22.3,84,101000,0,0,426,0,0,0,0,0,0,0,50,2.6,9,9,12,9000,9,'999999999,440,0,0,88,999,0,1
2023/1/2,6:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.1,22.6,86,101100,0,0,427,0,0,0,0,0,0,0,40,1.5,9,9,10,3962,9,'999999999,450,0,0,88,999,0,1
2023/1/2,7:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.2,22.3,84,101200,0,0,427,0,0,0,0,0,0,0,50,2.1,9,9,10,2438,9,'999999999,440,0,0,88,999,0,1
2023/1/2,8:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.6,22.2,82,101200,131,1305,429,36,29,33,3916,0,3639,144,60,2.1,9,9,10,4800,9,'999999999,440,0,0,88,999,0,1
2023/1/2,9:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.4,22.2,78,101300,441,1411,434,123,47,108,13592,1911,12011,524,20,2.1,9,9,10,4877,9,'999999999,440,0,0,88,999,0,1
